"variable","iso2","reference","cramer"
"asc_prevalence","ER","hk_prevalence",
"asc_prevalence","ER","asc_prevalence",
"asc_prevalence","ER","tt_prevalence",
"asc_prevalence","ER","coordinates",
"tt_prevalence","ER","year",
"tt_prevalence","ER","longitude",
"tt_prevalence","ER","latitude",
"tt_prevalence","ER","hk_prevalence",
"tt_prevalence","ER","asc_prevalence",
"tt_prevalence","ER","tt_prevalence",
"tt_prevalence","ER","coordinates",
"coordinates","ER","year",
"coordinates","ER","longitude",
"coordinates","ER","latitude",1
"coordinates","ER","hk_prevalence",
"coordinates","ER","asc_prevalence",
"coordinates","ER","tt_prevalence",
"coordinates","ER","coordinates",1
"year","ET","year",1
"year","ET","longitude",0
"year","ET","latitude",0
"year","ET","hk_prevalence",0.1041
"year","ET","asc_prevalence",0.592
"year","ET","tt_prevalence",0.5871
"year","ET","coordinates",0
"longitude","ET","year",0
"longitude","ET","longitude",1
"longitude","ET","latitude",1
"longitude","ET","hk_prevalence",0
"longitude","ET","asc_prevalence",0
"longitude","ET","tt_prevalence",0
"longitude","ET","coordinates",1
"latitude","ET","year",0
"latitude","ET","longitude",1
"latitude","ET","latitude",1
"latitude","ET","hk_prevalence",0
"latitude","ET","asc_prevalence",0
"latitude","ET","tt_prevalence",0
"latitude","ET","coordinates",1
"hk_prevalence","ET","year",0.1041
"hk_prevalence","ET","longitude",0
"hk_prevalence","ET","latitude",0
"hk_prevalence","ET","hk_prevalence",1
"hk_prevalence","ET","asc_prevalence",0.05022
"hk_prevalence","ET","tt_prevalence",0
"hk_prevalence","ET","coordinates",0
"asc_prevalence","ET","year",0.592
"asc_prevalence","ET","longitude",0
"asc_prevalence","ET","latitude",0
"asc_prevalence","ET","hk_prevalence",0.05022
"asc_prevalence","ET","asc_prevalence",1
"asc_prevalence","ET","tt_prevalence",0.9659
"asc_prevalence","ET","coordinates",0
"tt_prevalence","ET","year",0.5871
"tt_prevalence","ET","longitude",0
"tt_prevalence","ET","latitude",0
"tt_prevalence","ET","hk_prevalence",0
"tt_prevalence","ET","asc_prevalence",0.9659
"tt_prevalence","ET","tt_prevalence",1
"tt_prevalence","ET","coordinates",0
"coordinates","ET","year",0
"coordinates","ET","longitude",1
"coordinates","ET","latitude",1
"coordinates","ET","hk_prevalence",0
"coordinates","ET","asc_prevalence",0
"coordinates","ET","tt_prevalence",0
"coordinates","ET","coordinates",1
"year","GA","year",1
"year","GA","longitude",0
"year","GA","latitude",0
"year","GA","hk_prevalence",
"year","GA","asc_prevalence",
"year","GA","tt_prevalence",
"year","GA","coordinates",0
"longitude","GA","year",0
"longitude","GA","longitude",1
"longitude","GA","latitude",0.9092
"longitude","GA","hk_prevalence",
"longitude","GA","asc_prevalence",
"longitude","GA","tt_prevalence",
"longitude","GA","coordinates",0.9092
"latitude","GA","year",0
"latitude","GA","longitude",0.9092
"latitude","GA","latitude",1
"latitude","GA","hk_prevalence",
"latitude","GA","asc_prevalence",
"latitude","GA","tt_prevalence",
"latitude","GA","coordinates",1
"hk_prevalence","GA","year",
"hk_prevalence","GA","longitude",
"hk_prevalence","GA","latitude",
"hk_prevalence","GA","hk_prevalence",
"hk_prevalence","GA","asc_prevalence",
"hk_prevalence","GA","tt_prevalence",
"hk_prevalence","GA","coordinates",
"asc_prevalence","GA","year",
"asc_prevalence","GA","longitude",
"asc_prevalence","GA","latitude",
"asc_prevalence","GA","hk_prevalence",
"asc_prevalence","GA","asc_prevalence",
"asc_prevalence","GA","tt_prevalence",
"asc_prevalence","GA","coordinates",
"tt_prevalence","GA","year",
"tt_prevalence","GA","longitude",
"tt_prevalence","GA","latitude",
"tt_prevalence","GA","hk_prevalence",
"tt_prevalence","GA","asc_prevalence",
"tt_prevalence","GA","tt_prevalence",
"tt_prevalence","GA","coordinates",
"coordinates","GA","year",0
"coordinates","GA","longitude",0.9092
"coordinates","GA","latitude",1
"coordinates","GA","hk_prevalence",
"coordinates","GA","asc_prevalence",
"coordinates","GA","tt_prevalence",
"coordinates","GA","coordinates",1
"year","GH","year",
"year","GH","longitude",
"year","GH","latitude",
"year","GH","hk_prevalence",
"year","GH","asc_prevalence",
"year","GH","tt_prevalence",
"year","GH","coordinates",
"longitude","GH","year",
"longitude","GH","longitude",1
"longitude","GH","latitude",0.6955
"longitude","GH","hk_prevalence",0
"longitude","GH","asc_prevalence",0.2983
"longitude","GH","tt_prevalence",0.2983
"longitude","GH","coordinates",0.6955
"latitude","GH","year",
"latitude","GH","longitude",0.6955
"latitude","GH","latitude",1
"latitude","GH","hk_prevalence",0
"latitude","GH","asc_prevalence",0.1429
"latitude","GH","tt_prevalence",0.1429
"latitude","GH","coordinates",1
"hk_prevalence","GH","year",
"hk_prevalence","GH","longitude",0
"hk_prevalence","GH","latitude",0
"hk_prevalence","GH","hk_prevalence",1
"hk_prevalence","GH","asc_prevalence",0.1964
"hk_prevalence","GH","tt_prevalence",0.1964
"hk_prevalence","GH","coordinates",0
"asc_prevalence","GH","year",
"asc_prevalence","GH","longitude",0.2983
"asc_prevalence","GH","latitude",0.1429
"asc_prevalence","GH","hk_prevalence",0.1964
"asc_prevalence","GH","asc_prevalence",1
"asc_prevalence","GH","tt_prevalence",1
"asc_prevalence","GH","coordinates",0.1429
"tt_prevalence","GH","year",
"tt_prevalence","GH","longitude",0.2983
"tt_prevalence","GH","latitude",0.1429
"tt_prevalence","GH","hk_prevalence",0.1964
"tt_prevalence","GH","asc_prevalence",1
"tt_prevalence","GH","tt_prevalence",1
"tt_prevalence","GH","coordinates",0.1429
"coordinates","GH","year",
"coordinates","GH","longitude",0.6955
"coordinates","GH","latitude",1
"coordinates","GH","hk_prevalence",0
"coordinates","GH","asc_prevalence",0.1429
"coordinates","GH","tt_prevalence",0.1429
"coordinates","GH","coordinates",1
"year","GM","year",
"year","GM","longitude",
"year","GM","latitude",
"year","GM","hk_prevalence",
"year","GM","asc_prevalence",
"year","GM","tt_prevalence",
"year","GM","coordinates",
"longitude","GM","year",
"longitude","GM","longitude",
"longitude","GM","latitude",
"longitude","GM","hk_prevalence",
"longitude","GM","asc_prevalence",
"longitude","GM","tt_prevalence",
"longitude","GM","coordinates",
"latitude","GM","year",
"latitude","GM","longitude",
"latitude","GM","latitude",1
"latitude","GM","hk_prevalence",0.03201
"latitude","GM","asc_prevalence",0.03201
"latitude","GM","tt_prevalence",0.03201
"latitude","GM","coordinates",1
"hk_prevalence","GM","year",
"hk_prevalence","GM","longitude",
"hk_prevalence","GM","latitude",0.03201
"hk_prevalence","GM","hk_prevalence",1
"hk_prevalence","GM","asc_prevalence",1
"hk_prevalence","GM","tt_prevalence",1
